NAME,median_income,state,county,tract
Census Tract 101; Barnstable County; Massachusetts,104500.0,25,001,010100
Census Tract 102.06; Barnstable County; Massachusetts,114074.0,25,001,010206
Census Tract 102.08; Barnstable County; Massachusetts,94637.0,25,001,010208
Census Tract 103.04; Barnstable County; Massachusetts,70779.0,25,001,010304
Census Tract 103.06; Barnstable County; Massachusetts,75777.0,25,001,010306
Census Tract 104; Barnstable County; Massachusetts,82382.0,25,001,010400
Census Tract 105; Barnstable County; Massachusetts,113313.0,25,001,010500
Census Tract 106; Barnstable County; Massachusetts,80298.0,25,001,010600
Census Tract 107; Barnstable County; Massachusetts,112976.0,25,001,010700
Census Tract 108; Barnstable County; Massachusetts,98043.0,25,001,010800
Census Tract 109; Barnstable County; Massachusetts,91318.0,25,001,010900
Census Tract 110.02; Barnstable County; Massachusetts,93924.0,25,001,011002
Census Tract 111; Barnstable County; Massachusetts,94694.0,25,001,011100
Census Tract 112; Barnstable County; Massachusetts,77250.0,25,001,011200
Census Tract 113; Barnstable County; Massachusetts,118810.0,25,001,011300
Census Tract 114; Barnstable County; Massachusetts,92813.0,25,001,011400
Census Tract 115; Barnstable County; Massachusetts,92527.0,25,001,011500
Census Tract 116; Barnstable County; Massachusetts,56905.0,25,001,011600
Census Tract 117; Barnstable County; Massachusetts,91635.0,25,001,011700
Census Tract 118.01; Barnstable County; Massachusetts,121250.0,25,001,011801
Census Tract 118.02; Barnstable County; Massachusetts,102256.0,25,001,011802
Census Tract 120.01; Barnstable County; Massachusetts,78085.0,25,001,012001
Census Tract 120.02; Barnstable County; Massachusetts,76161.0,25,001,012002
Census Tract 121.01; Barnstable County; Massachusetts,85595.0,25,001,012101
Census Tract 121.02; Barnstable County; Massachusetts,56489.0,25,001,012102
Census Tract 122; Barnstable County; Massachusetts,114710.0,25,001,012200
Census Tract 125.02; Barnstable County; Massachusetts,61655.0,25,001,012502
Census Tract 126.01; Barnstable County; Massachusetts,66080.0,25,001,012601
Census Tract 126.02; Barnstable County; Massachusetts,67481.0,25,001,012602
Census Tract 127; Barnstable County; Massachusetts,123352.0,25,001,012700
Census Tract 128; Barnstable County; Massachusetts,126838.0,25,001,012800
Census Tract 129; Barnstable County; Massachusetts,108922.0,25,001,012900
Census Tract 130.02; Barnstable County; Massachusetts,114219.0,25,001,013002
Census Tract 131; Barnstable County; Massachusetts,108981.0,25,001,013100
Census Tract 132; Barnstable County; Massachusetts,140197.0,25,001,013200
Census Tract 133; Barnstable County; Massachusetts,104464.0,25,001,013300
Census Tract 134; Barnstable County; Massachusetts,130804.0,25,001,013400
Census Tract 135; Barnstable County; Massachusetts,146536.0,25,001,013500
Census Tract 136; Barnstable County; Massachusetts,104625.0,25,001,013600
Census Tract 137; Barnstable County; Massachusetts,93566.0,25,001,013700
Census Tract 138; Barnstable County; Massachusetts,118491.0,25,001,013800
Census Tract 139; Barnstable County; Massachusetts,88688.0,25,001,013900
Census Tract 140.02; Barnstable County; Massachusetts,97452.0,25,001,014002
Census Tract 141; Barnstable County; Massachusetts,55000.0,25,001,014100
Census Tract 143; Barnstable County; Massachusetts,122098.0,25,001,014300
Census Tract 144.02; Barnstable County; Massachusetts,103333.0,25,001,014402
Census Tract 145; Barnstable County; Massachusetts,93929.0,25,001,014500
Census Tract 146; Barnstable County; Massachusetts,89779.0,25,001,014600
Census Tract 147; Barnstable County; Massachusetts,85417.0,25,001,014700
Census Tract 148; Barnstable County; Massachusetts,57042.0,25,001,014800
Census Tract 149; Barnstable County; Massachusetts,107308.0,25,001,014900
Census Tract 150.01; Barnstable County; Massachusetts,100135.0,25,001,015001
Census Tract 150.02; Barnstable County; Massachusetts,84395.0,25,001,015002
Census Tract 151; Barnstable County; Massachusetts,88048.0,25,001,015100
Census Tract 152; Barnstable County; Massachusetts,138333.0,25,001,015200
Census Tract 153; Barnstable County; Massachusetts,43868.0,25,001,015300
Census Tract 9900; Barnstable County; Massachusetts,-666666666.0,25,001,990000
Census Tract 9001; Berkshire County; Massachusetts,31835.0,25,003,900100
Census Tract 9002; Berkshire County; Massachusetts,49219.0,25,003,900200
Census Tract 9003; Berkshire County; Massachusetts,76786.0,25,003,900300
Census Tract 9004; Berkshire County; Massachusetts,74663.0,25,003,900400
Census Tract 9005; Berkshire County; Massachusetts,109554.0,25,003,900500
Census Tract 9006; Berkshire County; Massachusetts,50745.0,25,003,900600
Census Tract 9007; Berkshire County; Massachusetts,89583.0,25,003,900700
Census Tract 9008; Berkshire County; Massachusetts,98097.0,25,003,900800
Census Tract 9009; Berkshire County; Massachusetts,70625.0,25,003,900900
Census Tract 9011; Berkshire County; Massachusetts,46947.0,25,003,901100
Census Tract 9111; Berkshire County; Massachusetts,84419.0,25,003,911100
Census Tract 9121; Berkshire County; Massachusetts,81168.0,25,003,912100
Census Tract 9131; Berkshire County; Massachusetts,97569.0,25,003,913100
Census Tract 9141; Berkshire County; Massachusetts,74222.0,25,003,914100
Census Tract 9201.01; Berkshire County; Massachusetts,92969.0,25,003,920101
Census Tract 9201.02; Berkshire County; Massachusetts,114167.0,25,003,920102
Census Tract 9213; Berkshire County; Massachusetts,43373.0,25,003,921300
Census Tract 9214; Berkshire County; Massachusetts,50227.0,25,003,921400
Census Tract 9215; Berkshire County; Massachusetts,56910.0,25,003,921500
Census Tract 9221; Berkshire County; Massachusetts,47438.0,25,003,922100
Census Tract 9222; Berkshire County; Massachusetts,54000.0,25,003,922200
Census Tract 9223; Berkshire County; Massachusetts,69883.0,25,003,922300
Census Tract 9231; Berkshire County; Massachusetts,72028.0,25,003,923100
Census Tract 9241; Berkshire County; Massachusetts,131667.0,25,003,924100
Census Tract 9251.01; Berkshire County; Massachusetts,89637.0,25,003,925101
Census Tract 9251.02; Berkshire County; Massachusetts,79625.0,25,003,925102
Census Tract 9261; Berkshire County; Massachusetts,83889.0,25,003,926100
Census Tract 9311; Berkshire County; Massachusetts,78421.0,25,003,931100
Census Tract 9313; Berkshire County; Massachusetts,75694.0,25,003,931300
Census Tract 9314; Berkshire County; Massachusetts,102896.0,25,003,931400
Census Tract 9322; Berkshire County; Massachusetts,82891.0,25,003,932200
Census Tract 9323; Berkshire County; Massachusetts,76129.0,25,003,932300
Census Tract 9332; Berkshire County; Massachusetts,141786.0,25,003,933200
Census Tract 9333; Berkshire County; Massachusetts,94038.0,25,003,933300
Census Tract 9334; Berkshire County; Massachusetts,101250.0,25,003,933400
Census Tract 9342; Berkshire County; Massachusetts,99961.0,25,003,934200
Census Tract 9343; Berkshire County; Massachusetts,110385.0,25,003,934300
Census Tract 9351; Berkshire County; Massachusetts,94167.0,25,003,935100
Census Tract 9352; Berkshire County; Massachusetts,87500.0,25,003,935200
Census Tract 9353; Berkshire County; Massachusetts,47896.0,25,003,935300
Census Tract 6001; Bristol County; Massachusetts,89602.0,25,005,600100
Census Tract 6002.02; Bristol County; Massachusetts,102514.0,25,005,600202
Census Tract 6002.03; Bristol County; Massachusetts,160809.0,25,005,600203
Census Tract 6002.04; Bristol County; Massachusetts,148988.0,25,005,600204
Census Tract 6101; Bristol County; Massachusetts,96188.0,25,005,610100
Census Tract 6102.02; Bristol County; Massachusetts,172273.0,25,005,610202
Census Tract 6102.03; Bristol County; Massachusetts,177587.0,25,005,610203
Census Tract 6102.04; Bristol County; Massachusetts,111406.0,25,005,610204
Census Tract 6111.01; Bristol County; Massachusetts,120250.0,25,005,611101
Census Tract 6111.02; Bristol County; Massachusetts,121667.0,25,005,611102
Census Tract 6112.01; Bristol County; Massachusetts,141144.0,25,005,611201
Census Tract 6112.02; Bristol County; Massachusetts,126556.0,25,005,611202
Census Tract 6121; Bristol County; Massachusetts,101078.0,25,005,612100
Census Tract 6122.01; Bristol County; Massachusetts,105982.0,25,005,612201
Census Tract 6122.02; Bristol County; Massachusetts,127744.0,25,005,612202
Census Tract 6131; Bristol County; Massachusetts,82851.0,25,005,613100
Census Tract 6133; Bristol County; Massachusetts,122969.0,25,005,613300
Census Tract 6134; Bristol County; Massachusetts,101201.0,25,005,613400
Census Tract 6136; Bristol County; Massachusetts,65037.0,25,005,613600
Census Tract 6137; Bristol County; Massachusetts,66938.0,25,005,613700
Census Tract 6138; Bristol County; Massachusetts,47143.0,25,005,613800
Census Tract 6139.01; Bristol County; Massachusetts,62167.0,25,005,613901
Census Tract 6139.02; Bristol County; Massachusetts,67390.0,25,005,613902
Census Tract 6140; Bristol County; Massachusetts,53067.0,25,005,614000
Census Tract 6141.01; Bristol County; Massachusetts,76017.0,25,005,614101
Census Tract 6141.02; Bristol County; Massachusetts,108104.0,25,005,614102
Census Tract 6151; Bristol County; Massachusetts,137616.0,25,005,615100
Census Tract 6161; Bristol County; Massachusetts,123877.0,25,005,616100
Census Tract 6171.01; Bristol County; Massachusetts,148151.0,25,005,617101
Census Tract 6171.02; Bristol County; Massachusetts,136985.0,25,005,617102
Census Tract 6301.01; Bristol County; Massachusetts,95256.0,25,005,630101
Census Tract 6301.02; Bristol County; Massachusetts,90838.0,25,005,630102
Census Tract 6302.01; Bristol County; Massachusetts,143778.0,25,005,630201
Census Tract 6302.02; Bristol County; Massachusetts,146908.0,25,005,630202
Census Tract 6303.01; Bristol County; Massachusetts,165958.0,25,005,630301
Census Tract 6303.02; Bristol County; Massachusetts,103986.0,25,005,630302
Census Tract 6304; Bristol County; Massachusetts,108244.0,25,005,630400
Census Tract 6311.01; Bristol County; Massachusetts,66932.0,25,005,631101
Census Tract 6311.02; Bristol County; Massachusetts,90781.0,25,005,631102
Census Tract 6312; Bristol County; Massachusetts,123081.0,25,005,631200
Census Tract 6313; Bristol County; Massachusetts,99219.0,25,005,631300
Census Tract 6314; Bristol County; Massachusetts,55227.0,25,005,631400
Census Tract 6315; Bristol County; Massachusetts,82768.0,25,005,631500
Census Tract 6316; Bristol County; Massachusetts,65125.0,25,005,631600
Census Tract 6317; Bristol County; Massachusetts,111420.0,25,005,631700
Census Tract 6318; Bristol County; Massachusetts,96554.0,25,005,631800
Census Tract 6321; Bristol County; Massachusetts,115049.0,25,005,632100
Census Tract 6322; Bristol County; Massachusetts,119617.0,25,005,632200
Census Tract 6331; Bristol County; Massachusetts,108417.0,25,005,633100
