res_id,age,age_group,tract_id,tract_name,median_income,income_category,income_eligibility_status,interior_condition,exterior_condition,grade,has_poor_conditions,overall_condition,open_violations,total_violations,has_violations,violation_category,has_building_match,residency_stability,nearest_store_distance,store_accessibility,nearest_park_distance_meters,park_accessibility,eligibility_score,priority_level,tenure_status
01KDD1257000,68,62-69,25025010103.0,Census Tract 101.03; Suffolk County; Massachusetts,45000.0,Low Income,Eligible,Average,Average,Average,False,Good,1,2,True,1-2 Violations,True,5+ Years (Matched),80.09,Excellent (≤500m),163.39046252,Excellent (≤300m),50,High,Renter
10LTN1853000,72,70-79,25025000703.0,Census Tract 7.03; Suffolk County; Massachusetts,46985.0,Low Income,Eligible,Unknown,Unknown,Unknown,False,Good,2,2,True,1-2 Violations,True,5+ Years (Matched),179.63,Excellent (≤500m),209.51028131,Excellent (≤300m),50,High,Renter
03AJH1951000,74,70-79,25025010103.0,Census Tract 101.03; Suffolk County; Massachusetts,45000.0,Low Income,Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),197.33,Excellent (≤500m),214.78093864,Excellent (≤300m),45,High,Homeowner
02SCR2163002,62,62-69,25025010103.0,Census Tract 101.03; Suffolk County; Massachusetts,45000.0,Low Income,Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),116.2,Excellent (≤500m),46.25947072,Excellent (≤300m),45,High,Renter
08BRT2861001,64,62-69,25025010103.0,Census Tract 101.03; Suffolk County; Massachusetts,45000.0,Low Income,Eligible,Fair,Average,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),267.02,Excellent (≤500m),298.75636864,Excellent (≤300m),45,High,Homeowner
01FJS2642000,83,80-89,25025000603.0,Census Tract 6.03; Suffolk County; Massachusetts,33229.0,Low Income,Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),178.19,Excellent (≤500m),336.15092255,Good (300-600m),45,High,Homeowner
11WDY2641000,83,80-89,25025000603.0,Census Tract 6.03; Suffolk County; Massachusetts,33229.0,Low Income,Eligible,Fair,Average,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),366.65,Excellent (≤500m),271.50310785,Excellent (≤300m),45,High,Homeowner
06GSA0747000,78,70-79,25025000603.0,Census Tract 6.03; Suffolk County; Massachusetts,33229.0,Low Income,Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),205.17,Excellent (≤500m),100.88971477,Excellent (≤300m),45,High,Homeowner
05MLI1254000,71,70-79,25025000603.0,Census Tract 6.03; Suffolk County; Massachusetts,33229.0,Low Income,Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),438.5,Excellent (≤500m),65.18748983,Excellent (≤300m),45,High,Homeowner
03MMT3032000,93,90+,25025010103.0,Census Tract 101.03; Suffolk County; Massachusetts,45000.0,Low Income,Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),146.81,Excellent (≤500m),237.38055367,Excellent (≤300m),45,High,Homeowner
01FPL0944000,81,80-89,25025010103.0,Census Tract 101.03; Suffolk County; Massachusetts,45000.0,Low Income,Eligible,Fair,Average,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),141.33,Excellent (≤500m),200.48641383,Excellent (≤300m),45,High,Homeowner
01JGD0944000,81,80-89,25025000703.0,Census Tract 7.03; Suffolk County; Massachusetts,46985.0,Low Income,Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),114.69,Excellent (≤500m),83.07596867,Excellent (≤300m),45,High,Homeowner
02GBN0844000,81,80-89,25025000603.0,Census Tract 6.03; Suffolk County; Massachusetts,33229.0,Low Income,Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),205.17,Excellent (≤500m),100.88971477,Excellent (≤300m),45,High,Homeowner
11CDD3053003,71,70-79,25025010103.0,Census Tract 101.03; Suffolk County; Massachusetts,45000.0,Low Income,Eligible,Fair,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),143.06,Excellent (≤500m),8.45746398,Excellent (≤300m),45,High,Homeowner
05SCY2055000,70,70-79,25025000805.0,Census Tract 8.05; Suffolk County; Massachusetts,53824.0,Moderate Income,Potentially Eligible,Poor,Average,Average,True,Poor,0,0,False,No Violations,True,5+ Years (Matched),326.9,Excellent (≤500m),365.47704515,Good (300-600m),45,High,Homeowner
06FMY2744001,81,80-89,25025000603.0,Census Tract 6.03; Suffolk County; Massachusetts,33229.0,Low Income,Eligible,Average,Fair,Average,True,Fair,0,0,False,No Violations,True,5+ Years (Matched),171.34,Excellent (≤500m),343.78691858,Good (300-600m),45,High,Homeowner
