res_id,age,ward_id,precinct_id,median_income,income_category,has_financial_barrier,property_value
01AAA1633000,92,21,11,80556.00,Higher Income ($75k+),False,986500.00
01AAA1962000,62,22,7,82125.00,Higher Income ($75k+),False,1019700.00
01AAA2933000,92,21,13,80556.00,Higher Income ($75k+),False,
01AAA3136000,89,22,6,88625.00,Higher Income ($75k+),False,1413800.00
01AAO0160131,71,21,7,131206.00,Higher Income ($75k+),False,1555155.00
01ABT1560001,65,21,13,80556.00,Higher Income ($75k+),False,16432500.00
01ACA0142002,83,21,11,80556.00,Higher Income ($75k+),False,1898500.00
01ADA0163003,62,22,2,45000.00,Low Income (<$50k),True,4746200.00
01ADH0153000,72,21,7,131206.00,Higher Income ($75k+),False,1589049.00
01ADT0161000,64,21,7,79000.00,Higher Income ($75k+),False,1410007.00
01AEG0162001,63,21,7,46985.00,Low Income (<$50k),True,1541101.00
01AGE1245000,80,22,4,92560.00,Higher Income ($75k+),False,914800.00
01AJH2754003,71,22,2,33229.00,Low Income (<$50k),True,1236800.00
01ALA0160174,63,22,11,75366.00,Higher Income ($75k+),False,937900.00
01ALA3158001,67,21,10,60060.00,Moderate Income ($50k-$75k),True,
01ALE1643000,82,22,9,73403.00,Moderate Income ($50k-$75k),True,1559100.00
01ALN2759001,66,21,11,80556.00,Higher Income ($75k+),False,0.00
01AME0150026,83,21,12,0,Low Income (<$50k),True,
01AMZ2058000,67,21,14,93326.00,Higher Income ($75k+),False,0.00
01ANS0938001,87,22,8,92560.00,Higher Income ($75k+),False,990400.00
01AOA0160037,88,21,9,46985.00,Low Income (<$50k),True,27373404.00
01ARE0169003,71,22,7,75366.00,Higher Income ($75k+),False,1167300.00
01ASK0132000,88,21,9,46985.00,Low Income (<$50k),True,27373404.00
01ASU0150000,81,22,11,75366.00,Higher Income ($75k+),False,777400.00
01AVA2850000,75,22,3,111705.00,Higher Income ($75k+),False,1105700.00
01AWM0142001,83,22,1,45000.00,Low Income (<$50k),True,697400.00
01BAA0160542,66,21,7,131206.00,Higher Income ($75k+),False,992337.00
01BAA2651000,74,21,13,151466.00,Higher Income ($75k+),False,0.00
01BAL0160066,67,21,7,131206.00,Higher Income ($75k+),False,1658547.00
01BAN0553002,72,21,14,93326.00,Higher Income ($75k+),False,1696600.00
01BAO0857000,68,21,7,131206.00,Higher Income ($75k+),False,1874932.00
01BAR0160020,74,22,11,75366.00,Higher Income ($75k+),False,744200.00
01BAY0142002,83,21,13,80556.00,Higher Income ($75k+),False,16432500.00
01BAY0143001,82,22,10,111705.00,Higher Income ($75k+),False,1199000.00
01BBA1237000,88,22,1,89479.00,Higher Income ($75k+),False,1054900.00
01BBA1456000,69,22,7,82125.00,Higher Income ($75k+),False,0.00
01BBD0137000,88,22,7,82125.00,Higher Income ($75k+),False,877900.00
01BBS1147000,78,22,4,82125.00,Higher Income ($75k+),False,1253400.00
01BCA0938001,87,22,7,92560.00,Higher Income ($75k+),False,627100.00
01BCE3159005,66,22,8,73403.00,Moderate Income ($50k-$75k),True,1163100.00
01BDD0160404,74,21,3,116793.00,Higher Income ($75k+),False,5934600.00
01BED0142000,84,21,9,46985.00,Low Income (<$50k),True,26902496.00
01BED2645000,80,21,16,114271.00,Higher Income ($75k+),False,
01BEH0859000,66,22,13,82125.00,Higher Income ($75k+),False,973500.00
01BGY0160149,73,21,10,60060.00,Moderate Income ($50k-$75k),True,0.00
01BHY0557002,68,22,7,82125.00,Higher Income ($75k+),False,884800.00
01BIA0160036,93,21,10,81853.00,Higher Income ($75k+),False,8269891.00
01BIA0656000,69,22,3,88625.00,Higher Income ($75k+),False,9301700.00
01BJE0162022,63,22,3,88625.00,Higher Income ($75k+),False,1154800.00
01BJN2936003,89,21,6,88625.00,Higher Income ($75k+),False,781500.00
01BJS1662001,63,21,6,46985.00,Low Income (<$50k),True,1064300.00
01BJT2550000,75,22,4,92560.00,Higher Income ($75k+),False,681100.00
01BJY0653003,72,22,11,75366.00,Higher Income ($75k+),False,1275600.00
01BLA2752001,73,22,11,75366.00,Higher Income ($75k+),False,744200.00
01BLN0759000,66,21,13,80556.00,Higher Income ($75k+),False,16432500.00
01BLN1556000,69,22,2,45000.00,Low Income (<$50k),True,0.00
01BMA1053001,72,22,3,111705.00,Higher Income ($75k+),False,993300.00
01BMA2134002,91,21,12,93326.00,Higher Income ($75k+),False,
01BMA2445000,80,21,8,79000.00,Higher Income ($75k+),False,0.00
01BME0550000,75,21,9,79000.00,Higher Income ($75k+),False,0.00
01BME2261000,64,21,10,60060.00,Moderate Income ($50k-$75k),True,
01BML0100106,97,21,9,46985.00,Low Income (<$50k),True,26902496.00
01BML1655000,70,22,11,111705.00,Higher Income ($75k+),False,1138100.00
01BMN0155001,70,21,1,0,Low Income (<$50k),True,1274300.00
01BNY0949001,76,21,14,93326.00,Higher Income ($75k+),False,636300.00
01BNY3148000,77,22,1,45000.00,Low Income (<$50k),True,744800.00
01BOA0724000,101,21,13,80556.00,Higher Income ($75k+),False,
01BPA0149011,76,21,12,93326.00,Higher Income ($75k+),False,
01BRT2446000,79,22,6,88625.00,Higher Income ($75k+),False,1015400.00
01BSE0132000,93,21,8,79000.00,Higher Income ($75k+),False,1218700.00
01BSL0361000,64,22,9,73403.00,Moderate Income ($50k-$75k),True,862900.00
01BSN2559002,66,22,1,89479.00,Higher Income ($75k+),False,1403800.00
01BSY0349000,76,22,4,92560.00,Higher Income ($75k+),False,772500.00
01BUN2841000,84,22,6,88625.00,Higher Income ($75k+),False,1072300.00
01BVA0762000,63,22,12,111705.00,Higher Income ($75k+),False,8312400.00
01BWM0146008,79,22,11,75366.00,Higher Income ($75k+),False,613900.00
01BWM0460000,65,22,7,75366.00,Higher Income ($75k+),False,1178400.00
01BWY0847001,78,22,6,88625.00,Higher Income ($75k+),False,972100.00
01CAD1341000,84,21,15,151466.00,Higher Income ($75k+),False,3233000.00
01CAO0738000,87,22,13,82125.00,Higher Income ($75k+),False,1174900.00
01CBA0160043,77,21,8,79000.00,Higher Income ($75k+),False,2747746.00
01CBY0549000,76,21,10,81853.00,Higher Income ($75k+),False,8269891.00
