res_id,age,ward_id,precinct_id,nearest_park_distance_meters,park_accessibility,has_park_accessibility_barrier
01AAA1633000,92,21,11,225.11625424,Excellent (≤300m),False
01AAA1962000,62,22,7,112.4667333,Excellent (≤300m),False
01AAA2933000,92,21,13,192.28088908,Excellent (≤300m),False
01AAA3136000,89,22,6,161.77592226,Excellent (≤300m),False
01AAE0154002,71,22,1,144.87364576,Excellent (≤300m),False
01AAO0160131,71,21,7,44.57541007,Excellent (≤300m),False
01ABT1560001,65,21,13,130.01472446,Excellent (≤300m),False
01ACA0142002,83,21,11,97.33668516,Excellent (≤300m),False
01ADA0163003,62,22,2,152.64468328,Excellent (≤300m),False
01ADH0153000,72,21,7,72.82886072,Excellent (≤300m),False
01ADT0161000,64,21,7,71.78029983,Excellent (≤300m),False
01AEG0162001,63,21,7,19.66343177,Excellent (≤300m),False
01AFA0162004,63,21,10,34.12805263,Excellent (≤300m),False
01AGE1245000,80,22,4,103.18396031,Excellent (≤300m),False
01AJH2754003,71,22,2,335.71389879,Good (300-600m),False
01ALA0160174,63,22,11,47.36819985,Excellent (≤300m),False
01ALA3158001,67,21,10,60.05706436,Excellent (≤300m),False
01ALE1643000,82,22,9,108.69062663,Excellent (≤300m),False
01ALN2759001,66,21,11,232.91307792,Excellent (≤300m),False
01AMD1052000,73,21,9,107.26888522,Excellent (≤300m),False
01AME0150026,83,21,12,15.98064041,Excellent (≤300m),False
01AME0160157,71,22,1,144.87364576,Excellent (≤300m),False
01AME0245002,80,22,10,70.65879648,Excellent (≤300m),False
01AMI0160011,77,21,16,64.07903645,Excellent (≤300m),False
01AMM0160021,69,22,2,169.72808515,Excellent (≤300m),False
01AMO0151000,74,21,5,44.44454935,Excellent (≤300m),False
01AMZ2058000,67,21,14,206.52537069,Excellent (≤300m),False
01ANS0938001,87,22,8,12.07861934,Excellent (≤300m),False
01AOA0160037,88,21,9,111.5411665,Excellent (≤300m),False
01ARE0169003,71,22,7,211.59108112,Excellent (≤300m),False
01ASE2054001,71,22,12,26.64612462,Excellent (≤300m),False
01ASK0132000,88,21,9,111.5411665,Excellent (≤300m),False
01ASL0154000,71,22,2,21.91445819,Excellent (≤300m),False
01ASU0150000,81,22,11,144.85703514,Excellent (≤300m),False
01ATY0961000,64,21,4,362.57752939,Good (300-600m),False
01AVA2850000,75,22,3,239.55018958,Excellent (≤300m),False
01AVN0160007,82,21,16,94.72513374,Excellent (≤300m),False
01AWM0142001,83,22,1,98.199329,Excellent (≤300m),False
01AZA0160006,77,21,16,64.07903645,Excellent (≤300m),False
01BAA0160542,66,21,7,50.95258405,Excellent (≤300m),False
01BAA2651000,74,21,13,124.84797521,Excellent (≤300m),False
01BAE0149008,76,22,9,274.0374604,Excellent (≤300m),False
01BAE1841000,84,21,16,19.07647339,Excellent (≤300m),False
01BAL0160066,67,21,7,73.1080332,Excellent (≤300m),False
01BAN0553002,72,21,14,189.12893013,Excellent (≤300m),False
01BAO0857000,68,21,7,81.51356709,Excellent (≤300m),False
01BAR0160020,74,22,11,222.94358707,Excellent (≤300m),False
01BAR0649001,76,21,16,64.07903645,Excellent (≤300m),False
01BAR1061001,64,22,8,142.28521735,Excellent (≤300m),False
01BAY0142002,83,21,13,130.01472446,Excellent (≤300m),False
01BAY0143001,82,22,10,353.38288917,Good (300-600m),False
01BBA1237000,88,22,1,211.55674859,Excellent (≤300m),False
01BBA1456000,69,22,7,35.33251578,Excellent (≤300m),False
01BBD0137000,88,22,7,223.46103517,Excellent (≤300m),False
01BBS1147000,78,22,4,116.89201319,Excellent (≤300m),False
01BCA0938001,87,22,7,178.40559558,Excellent (≤300m),False
01BCE3159005,66,22,8,93.87199767,Excellent (≤300m),False
01BDD0160404,74,21,3,189.84855185,Excellent (≤300m),False
01BED0142000,84,21,9,97.64558051,Excellent (≤300m),False
01BED2645000,80,21,16,5.94234168,Excellent (≤300m),False
01BEH0859000,66,22,13,139.49884882,Excellent (≤300m),False
01BFA0160052,76,22,2,169.72808515,Excellent (≤300m),False
01BFX0160004,84,22,6,289.72293498,Excellent (≤300m),False
01BGY0160149,73,21,10,46.84552139,Excellent (≤300m),False
01BHY0557002,68,22,7,131.5443119,Excellent (≤300m),False
01BIA0160036,93,21,10,25.36370695,Excellent (≤300m),False
01BIA0160131,65,21,3,263.48735609,Excellent (≤300m),False
01BIA0656000,69,22,3,118.84099679,Excellent (≤300m),False
01BIF2541000,84,21,16,64.07903645,Excellent (≤300m),False
01BJE0162022,63,22,3,177.40108862,Excellent (≤300m),False
01BJM1638000,87,21,16,19.07647339,Excellent (≤300m),False
01BJN2936003,89,21,6,339.06753559,Good (300-600m),False
01BJS1662001,63,21,6,174.34865332,Excellent (≤300m),False
01BJT2550000,75,22,4,292.90150897,Excellent (≤300m),False
01BJY0144001,81,22,4,17.63580069,Excellent (≤300m),False
01BJY0653003,72,22,11,104.05761811,Excellent (≤300m),False
01BKN1752000,73,22,10,194.1974743,Excellent (≤300m),False
01BKN1956001,69,22,10,247.75046802,Excellent (≤300m),False
01BLA2752001,73,22,11,222.94358707,Excellent (≤300m),False
01BLE0362000,63,21,16,105.61133947,Excellent (≤300m),False
01BLN0759000,66,21,13,130.01472446,Excellent (≤300m),False
01BLN1556000,69,22,2,182.09947972,Excellent (≤300m),False
01BMA1053001,72,22,3,160.02219712,Excellent (≤300m),False
01BMA2134002,91,21,12,84.87987914,Excellent (≤300m),False
01BMA2445000,80,21,8,246.22708692,Excellent (≤300m),False
01BMC0152001,73,22,12,14.75210816,Excellent (≤300m),False
01BME0550000,75,21,9,85.12685701,Excellent (≤300m),False
01BME2261000,64,21,10,60.05706436,Excellent (≤300m),False
01BML0100106,97,21,9,97.64558051,Excellent (≤300m),False
01BML1655000,70,22,11,252.65370643,Excellent (≤300m),False
01BMN0155001,70,21,1,138.7933412,Excellent (≤300m),False
01BMN0160135,69,22,2,67.02743145,Excellent (≤300m),False
01BNY0949001,76,21,14,105.14883468,Excellent (≤300m),False
01BNY3148000,77,22,1,54.6591584,Excellent (≤300m),False
01BOA0160068,65,21,16,31.9232009,Excellent (≤300m),False
01BOA0724000,101,21,13,192.28088908,Excellent (≤300m),False
01BOA1556002,69,21,16,64.07903645,Excellent (≤300m),False
01BPA0149011,76,21,12,84.87987914,Excellent (≤300m),False
01BRT2446000,79,22,6,247.82732123,Excellent (≤300m),False
01BSA0145001,80,21,3,263.48735609,Excellent (≤300m),False
01BSE0132000,93,21,8,229.08292029,Excellent (≤300m),False
01BSE1655000,70,21,13,19.51678071,Excellent (≤300m),False
01BSH1658000,67,21,15,31.76974958,Excellent (≤300m),False
01BSL0361000,64,22,9,98.31324851,Excellent (≤300m),False
01BSN2559002,66,22,1,232.09859937,Excellent (≤300m),False
01BSY0349000,76,22,4,204.58985193,Excellent (≤300m),False
01BUN2841000,84,22,6,371.39990667,Good (300-600m),False
01BVA0762000,63,22,12,41.87375356,Excellent (≤300m),False
01BVA2339001,86,22,12,14.75210816,Excellent (≤300m),False
01BVR0160032,97,21,3,263.48735609,Excellent (≤300m),False
01BWM0146008,79,22,11,173.93965479,Excellent (≤300m),False
01BWM0460000,65,22,7,75.82634666,Excellent (≤300m),False
01BWM2357000,68,22,2,170.5515961,Excellent (≤300m),False
01BWY0847001,78,22,6,327.80258346,Good (300-600m),False
01CAD1341000,84,21,15,197.09525936,Excellent (≤300m),False
01CAE1758000,67,22,9,108.93956582,Excellent (≤300m),False
01CAN2350000,75,22,9,287.1211365,Excellent (≤300m),False
01CAO0738000,87,22,13,153.13693135,Excellent (≤300m),False
01CBA0160043,77,21,8,120.06997205,Excellent (≤300m),False
01CBY0549000,76,21,10,25.36370695,Excellent (≤300m),False
01CCA0134003,90,22,6,264.94617484,Excellent (≤300m),False
01CCA1941001,84,21,12,84.87987914,Excellent (≤300m),False
01CCE0136005,89,22,7,63.66869952,Excellent (≤300m),False
01CCE1948000,77,21,9,23.66071689,Excellent (≤300m),False
01CCI0155000,70,22,5,233.36175919,Excellent (≤300m),False
01CCY1562002,63,22,4,308.26563441,Good (300-600m),False
01CDD2559004,66,21,9,84.03994408,Excellent (≤300m),False
01CDG0118001,83,21,12,15.98064041,Excellent (≤300m),False
01CDU0756000,69,21,10,37.80182545,Excellent (≤300m),False
01CEA0160063,91,21,16,64.07903645,Excellent (≤300m),False
01CED0140001,88,22,12,12.98656864,Excellent (≤300m),False
01CEE0142001,83,21,10,25.36370695,Excellent (≤300m),False
01CEH0141004,76,21,13,21.31156501,Excellent (≤300m),False
01CFC0955001,70,21,8,203.60774679,Excellent (≤300m),False
01CFG0526001,99,21,10,37.80182545,Excellent (≤300m),False
01CFG2550000,75,21,13,130.01472446,Excellent (≤300m),False
01CGD0163001,62,21,11,225.11625424,Excellent (≤300m),False
01CGE0114020,81,21,16,19.07647339,Excellent (≤300m),False
01CGE2461001,64,22,9,167.15718482,Excellent (≤300m),False
01CGY0144000,81,21,15,197.09525936,Excellent (≤300m),False
01CHO1363000,62,21,1,108.28432871,Excellent (≤300m),False
01CIA0160041,67,22,8,99.56687721,Excellent (≤300m),False
01CIH3154001,71,21,16,64.07903645,Excellent (≤300m),False
01CJG0160048,86,21,13,164.91038097,Excellent (≤300m),False
01CJH2639000,86,21,6,397.49813107,Good (300-600m),False
01CJH3052001,73,22,12,116.05019863,Excellent (≤300m),False
01CJN0160200,62,21,13,55.67749148,Excellent (≤300m),False
01CJN1157007,68,21,13,130.01472446,Excellent (≤300m),False
01CJN2056001,69,21,10,26.96374213,Excellent (≤300m),False
01CJN3053002,72,22,10,23.99670105,Excellent (≤300m),False
01CKE2759000,66,21,11,191.93477225,Excellent (≤300m),False
01CKM0155001,70,21,5,201.52105546,Excellent (≤300m),False
01CKN1558001,67,22,1,107.02394741,Excellent (≤300m),False
01CLA0139000,86,22,3,210.09429168,Excellent (≤300m),False
01CLA0150033,75,22,7,18.0489632,Excellent (≤300m),False
01CLA0160279,78,21,13,192.28088908,Excellent (≤300m),False
01CLE0155003,78,21,3,263.48735609,Excellent (≤300m),False
01CLN0148000,76,22,7,18.0489632,Excellent (≤300m),False
01CLN0160311,72,21,13,130.01472446,Excellent (≤300m),False
01CLS0657002,68,21,9,97.64558051,Excellent (≤300m),False
01CLY0100014,62,22,7,172.87675796,Excellent (≤300m),False
01CLY2958000,67,21,12,49.72164131,Excellent (≤300m),False
01CMA1460002,65,21,1,44.73885592,Excellent (≤300m),False
01CMD0758001,67,22,1,344.96216484,Good (300-600m),False
01CMD2547000,78,21,10,33.14905354,Excellent (≤300m),False
01CME0157007,68,21,12,15.98064041,Excellent (≤300m),False
01CME0249001,76,21,16,31.91366821,Excellent (≤300m),False
01CME0358001,67,22,1,53.48630395,Excellent (≤300m),False
01CME0453002,72,21,13,169.37604015,Excellent (≤300m),False
01CME0660004,65,22,11,36.86534254,Excellent (≤300m),False
01CMO1063000,62,22,11,90.35780412,Excellent (≤300m),False
01CMO1948001,77,22,6,218.43338121,Excellent (≤300m),False
01CMY1537000,88,21,11,131.32642021,Excellent (≤300m),False
01CNY2358001,67,21,10,37.80182545,Excellent (≤300m),False
01CPA0126005,100,21,16,7.96511831,Excellent (≤300m),False
01CPA1253000,72,22,1,34.6333491,Excellent (≤300m),False
01CPA2656001,69,22,5,185.68723981,Excellent (≤300m),False
01CPL0861001,64,22,10,325.00208894,Good (300-600m),False
01CPP0160064,81,21,7,46.12695918,Excellent (≤300m),False
01CPR0160047,63,22,8,57.90621266,Excellent (≤300m),False
01CRA0160060,67,21,7,19.66343177,Excellent (≤300m),False
01CRA1348000,77,21,11,33.4750908,Excellent (≤300m),False
01CRA2730000,95,22,10,263.62602981,Excellent (≤300m),False
01CRE1357000,68,22,9,247.58620496,Excellent (≤300m),False
01CRT2739001,86,21,10,85.44982409,Excellent (≤300m),False
01CSE0463000,62,22,3,254.85423727,Excellent (≤300m),False
01CSG0349000,76,21,13,220.81707869,Excellent (≤300m),False
01CSL0951000,74,22,9,255.91314674,Excellent (≤300m),False
01CSM0130000,94,21,8,200.48385571,Excellent (≤300m),False
01CSN2858000,67,22,12,38.30150889,Excellent (≤300m),False
01CSU0112002,66,22,1,288.06428995,Excellent (≤300m),False
01CTA1556001,69,21,12,84.87987914,Excellent (≤300m),False
01CTS1957000,68,22,3,254.85423727,Excellent (≤300m),False
01CTY1157000,68,21,4,350.66008547,Good (300-600m),False
01CVA2244000,81,22,1,269.61576912,Excellent (≤300m),False
01CVR1748000,77,22,2,21.75696712,Excellent (≤300m),False
01CWM1756000,69,22,1,91.706557,Excellent (≤300m),False
01CWM2260001,65,21,9,170.42421144,Excellent (≤300m),False
01CYG0112007,70,22,2,15.58618358,Excellent (≤300m),False
01CYG0234000,91,21,15,201.36363692,Excellent (≤300m),False
01CYG0450000,75,21,13,62.1506109,Excellent (≤300m),False
01CYN2652000,73,21,13,169.37604015,Excellent (≤300m),False
01CZI1959000,66,22,4,301.8547576,Good (300-600m),False
01DAA0160321,82,22,10,305.60695348,Good (300-600m),False
01DAE0138001,87,21,16,35.7953909,Excellent (≤300m),False
01DAL0160051,67,21,8,224.03064148,Excellent (≤300m),False
01DAO0155002,69,22,5,199.85974198,Excellent (≤300m),False
01DBY0158001,67,21,9,38.79589199,Excellent (≤300m),False
01DCN2662000,63,21,5,276.83928943,Excellent (≤300m),False
01DDD3054000,71,22,7,114.01638802,Excellent (≤300m),False
01DDK0160006,64,21,7,21.75931055,Excellent (≤300m),False
01DDL0163011,62,22,12,155.5490196,Excellent (≤300m),False
01DEE2857000,68,22,5,320.65475776,Good (300-600m),False
01DEH2529000,96,22,13,287.40654727,Excellent (≤300m),False
01DEN0160111,66,22,7,277.71024882,Excellent (≤300m),False
01DER0160027,77,21,16,31.9232009,Excellent (≤300m),False
01DGA0160072,69,22,2,169.17460113,Excellent (≤300m),False
01DGL0840000,85,21,6,204.59770147,Excellent (≤300m),False
01DJA0146000,79,21,5,86.05186207,Excellent (≤300m),False
01DJA2847002,78,21,13,164.91038097,Excellent (≤300m),False
01DJE1153001,72,22,10,97.83631531,Excellent (≤300m),False
01DJR0163004,62,22,2,284.1688891,Excellent (≤300m),False
01DKR2542000,83,22,4,91.21776689,Excellent (≤300m),False
01DML0160318,72,22,3,237.27528224,Excellent (≤300m),False
01DML1062000,63,21,10,18.93400725,Excellent (≤300m),False
01DMT0143001,82,21,16,35.7953909,Excellent (≤300m),False
01DMY1457002,68,22,6,200.93059613,Excellent (≤300m),False
01DMY2850001,75,21,13,169.37604015,Excellent (≤300m),False
01DNN0157000,68,22,12,109.51434635,Excellent (≤300m),False
01DPA1760000,65,22,1,275.7214965,Excellent (≤300m),False
01DRH0160093,78,21,7,81.51356709,Excellent (≤300m),False
01DSA0160319,65,22,8,119.43722696,Excellent (≤300m),False
01DSA0944001,81,21,11,53.47988537,Excellent (≤300m),False
01DSI0560000,65,22,10,375.71922059,Good (300-600m),False
01DSM0158000,67,22,12,40.4404764,Excellent (≤300m),False
01DSN0556000,69,21,14,290.72326921,Excellent (≤300m),False
01DSN1162002,63,22,4,249.38159689,Excellent (≤300m),False
01DTA1262000,63,22,10,201.79925273,Excellent (≤300m),False
01DTE0960000,65,21,12,15.98064041,Excellent (≤300m),False
01DTI0563000,62,21,1,65.13500321,Excellent (≤300m),False
01DTS0161009,63,22,3,217.4573476,Excellent (≤300m),False
01DVO2858000,67,22,2,76.7640148,Excellent (≤300m),False
01DWM2731000,94,22,2,303.15633239,Good (300-600m),False
01DXR0113000,63,22,1,246.17654333,Excellent (≤300m),False
01DZA2034002,91,21,13,220.81707869,Excellent (≤300m),False
01EAL0149000,75,21,10,25.36370695,Excellent (≤300m),False
01EBE0140000,84,22,9,292.72124522,Excellent (≤300m),False
01EDA0346000,79,21,1,334.73560585,Good (300-600m),False
01EDE1443002,82,22,2,169.72808515,Excellent (≤300m),False
01EEA2458003,67,21,8,128.8271346,Excellent (≤300m),False
01EEE0130001,75,22,3,66.13952783,Excellent (≤300m),False
01EGD0148000,77,21,12,15.98064041,Excellent (≤300m),False
01EIA3137000,88,21,16,64.07903645,Excellent (≤300m),False
01EJN0160122,70,21,1,44.73885592,Excellent (≤300m),False
01EJN2361000,64,22,13,227.83414272,Excellent (≤300m),False
01EJT2156000,69,22,3,263.45597939,Excellent (≤300m),False
01EKN2861001,64,21,8,191.31939242,Excellent (≤300m),False
01EME2451000,74,21,10,60.05706436,Excellent (≤300m),False
01EMI1446000,79,22,8,119.43722696,Excellent (≤300m),False
01EMT0160012,73,21,11,183.95216007,Excellent (≤300m),False
01ENY2147000,78,22,8,117.27956988,Excellent (≤300m),False
01ERD1355000,70,21,11,23.39338749,Excellent (≤300m),False
01ETA2149001,76,21,16,64.07903645,Excellent (≤300m),False
01FAN0953000,72,22,7,158.00278359,Excellent (≤300m),False
01FBE1363000,62,22,13,305.5367069,Good (300-600m),False
01FEN0151000,74,21,12,197.5912965,Excellent (≤300m),False
01FEN0160063,62,22,8,13.27108577,Excellent (≤300m),False
01FFE0424000,101,22,8,146.84799982,Excellent (≤300m),False
01FHY0158001,67,22,10,68.10927395,Excellent (≤300m),False
01FJE3163001,62,22,8,21.61778231,Excellent (≤300m),False
01FJH3050000,75,21,16,49.50712447,Excellent (≤300m),False
01FJS1136000,89,21,9,28.59968669,Excellent (≤300m),False
01FJS2642000,83,22,5,336.15092255,Good (300-600m),False
01FLA0138001,87,21,12,15.98064041,Excellent (≤300m),False
01FLA0748000,77,22,11,157.25200181,Excellent (≤300m),False
01FME3060000,65,22,1,97.5538641,Excellent (≤300m),False
01FML0347000,78,22,8,74.45692136,Excellent (≤300m),False
01FML1753000,72,22,2,104.6307236,Excellent (≤300m),False
01FMT3060000,65,22,1,97.5538641,Excellent (≤300m),False
01FMY2251000,74,21,7,19.66343177,Excellent (≤300m),False
01FPL0944000,81,22,2,200.48641383,Excellent (≤300m),False
01FRD2943003,82,21,12,288.45157653,Excellent (≤300m),False
01FTI2756000,69,22,4,210.56777764,Excellent (≤300m),False
01FVA1852001,73,21,13,169.37604015,Excellent (≤300m),False
01FVT0160010,63,22,12,187.95948408,Excellent (≤300m),False
01FWA2056001,69,22,13,287.40654727,Excellent (≤300m),False
01FYA2224000,101,21,12,15.98064041,Excellent (≤300m),False
01FZA2532000,93,21,6,204.59770147,Excellent (≤300m),False
01GAL0957001,68,21,11,159.68347745,Excellent (≤300m),False
01GAO1048005,77,21,10,34.12805263,Excellent (≤300m),False
01GAR0160018,90,22,4,410.87848977,Good (300-600m),False
01GBA0155007,70,21,13,164.91038097,Excellent (≤300m),False
01GBS0654000,71,21,13,164.91038097,Excellent (≤300m),False
01GBY0146002,79,21,10,60.05706436,Excellent (≤300m),False
01GCL0158003,67,22,4,75.55547646,Excellent (≤300m),False
01GCS2352002,73,22,9,196.05669234,Excellent (≤300m),False
01GEA3146000,79,21,13,130.01472446,Excellent (≤300m),False
01GED2246000,79,22,10,113.51298452,Excellent (≤300m),False
01GFK0161000,64,22,10,397.0117986,Good (300-600m),False
01GFK0452000,73,22,2,226.69285767,Excellent (≤300m),False
01GFR0161001,64,22,5,19.00661166,Excellent (≤300m),False
01GGN2353000,72,21,14,314.3500256,Good (300-600m),False
01GGY1349000,77,21,10,33.14905354,Excellent (≤300m),False
01GHG0361000,64,22,2,358.06803889,Good (300-600m),False
01GHN1963000,62,22,7,50.78386328,Excellent (≤300m),False
01GJA2655000,70,22,4,137.08622438,Excellent (≤300m),False
01GJH2750000,75,21,16,64.07903645,Excellent (≤300m),False
01GJN0157016,68,22,7,85.59212969,Excellent (≤300m),False
01GJS0451000,74,21,8,219.08393253,Excellent (≤300m),False
01GJY1654000,71,21,11,171.67128432,Excellent (≤300m),False
01GKA0154000,71,21,9,73.88914833,Excellent (≤300m),False
01GLA0833001,92,21,13,220.81707869,Excellent (≤300m),False
01GLA1358001,67,22,12,40.4404764,Excellent (≤300m),False
01GLE2352002,73,21,13,164.91038097,Excellent (≤300m),False
01GLN2762001,63,21,6,207.14548491,Excellent (≤300m),False
01GME0147002,78,22,4,200.47940533,Excellent (≤300m),False
01GML0344000,81,22,10,314.77750223,Good (300-600m),False
01GML1161002,64,21,16,5.94234168,Excellent (≤300m),False
01GML2462001,63,22,4,217.52495697,Excellent (≤300m),False
01GMT0133000,91,22,8,119.46776527,Excellent (≤300m),False
01GMY0145005,80,21,6,204.59770147,Excellent (≤300m),False
01GNA0160012,63,22,8,42.92990372,Excellent (≤300m),False
01GNY0151005,73,21,6,50.72851115,Excellent (≤300m),False
01GOA0549000,76,21,4,350.66008547,Good (300-600m),False
01GPK0154001,71,22,8,183.68011671,Excellent (≤300m),False
01GPK1845001,80,22,4,213.4689217,Excellent (≤300m),False
01GPL0153003,72,22,6,354.92524409,Good (300-600m),False
01GPP2160000,65,21,10,92.36054129,Excellent (≤300m),False
01GPR1749000,76,21,13,164.91038097,Excellent (≤300m),False
01GRA0157006,69,21,3,263.48735609,Excellent (≤300m),False
01GRA0160073,77,21,16,64.07903645,Excellent (≤300m),False
01GRN1962000,63,22,10,214.57575261,Excellent (≤300m),False
01GSA0153002,72,21,13,27.8176589,Excellent (≤300m),False
01GSA0160116,90,21,16,64.07903645,Excellent (≤300m),False
01GSJ2252000,73,21,9,76.74552554,Excellent (≤300m),False
01GSN0148007,77,21,16,162.29451908,Excellent (≤300m),False
01GTA0160329,65,21,16,91.76285815,Excellent (≤300m),False
01GTE1561000,64,22,7,141.35667315,Excellent (≤300m),False
01GVA0108006,83,22,5,320.65475776,Good (300-600m),False
01GWM2638000,87,22,4,332.80286739,Good (300-600m),False
01GXE0145000,80,22,8,63.0753984,Excellent (≤300m),False
01HCG0160036,66,22,3,255.50038101,Excellent (≤300m),False
01HEH1653000,72,22,3,15.78244836,Excellent (≤300m),False
01HFA1059000,66,22,2,273.05929087,Excellent (≤300m),False
01HFE2661000,64,21,13,70.05059492,Excellent (≤300m),False
01HFK1642000,83,22,9,214.34465969,Excellent (≤300m),False
01HGA0949001,76,21,2,347.36852827,Good (300-600m),False
01HHN0160072,64,22,1,260.82494636,Excellent (≤300m),False
01HJA0160129,91,21,9,42.91136864,Excellent (≤300m),False
01HJA0648002,77,21,13,71.41570801,Excellent (≤300m),False
01HJN0100118,72,21,4,423.21167449,Good (300-600m),False
01HJS0143005,82,22,8,34.98047454,Excellent (≤300m),False
01HKI0160031,83,21,13,192.28088908,Excellent (≤300m),False
01HLG3163000,62,21,3,263.48735609,Excellent (≤300m),False
01HMA0160502,65,21,15,126.3572669,Excellent (≤300m),False
01HME0152006,73,22,2,194.12510409,Excellent (≤300m),False
01HML0754000,71,22,10,325.00208894,Good (300-600m),False
