res_id,age,nearest_park_distance_meters,park_accessibility
01AAA1633000,92,225.11625424,Excellent (≤300m)
01AAA1962000,62,112.4667333,Excellent (≤300m)
01AAA2933000,92,192.28088908,Excellent (≤300m)
01AAA3136000,89,161.77592226,Excellent (≤300m)
01AAE0154002,71,144.87364576,Excellent (≤300m)
01AAO0160131,71,44.57541007,Excellent (≤300m)
01ACA0142002,83,97.33668516,Excellent (≤300m)
01ADA0163003,62,152.64468328,Excellent (≤300m)
01ADH0153000,72,72.82886072,Excellent (≤300m)
01ADT0161000,64,71.78029983,Excellent (≤300m)
01AFA0162004,63,34.12805263,Excellent (≤300m)
01AGE1245000,80,103.18396031,Excellent (≤300m)
01AJH2754003,71,335.71389879,Good (300-600m)
01ALA0160174,63,47.36819985,Excellent (≤300m)
01ALA3158001,67,60.05706436,Excellent (≤300m)
01ALE1643000,82,108.69062663,Excellent (≤300m)
01ALN2759001,66,232.91307792,Excellent (≤300m)
01AMD1052000,73,107.26888522,Excellent (≤300m)
01AME0160157,71,144.87364576,Excellent (≤300m)
01AME0245002,80,70.65879648,Excellent (≤300m)
01AMI0160011,77,64.07903645,Excellent (≤300m)
01AMM0160021,69,169.72808515,Excellent (≤300m)
01AMO0151000,74,44.44454935,Excellent (≤300m)
01AMZ2058000,67,206.52537069,Excellent (≤300m)
01ANS0938001,87,12.07861934,Excellent (≤300m)
01AOA0160037,88,111.5411665,Excellent (≤300m)
01ARE0169003,71,211.59108112,Excellent (≤300m)
01ASE2054001,71,26.64612462,Excellent (≤300m)
01ASK0132000,88,111.5411665,Excellent (≤300m)
01ASL0154000,71,21.91445819,Excellent (≤300m)
01ASU0150000,81,144.85703514,Excellent (≤300m)
01ATY0961000,64,362.57752939,Good (300-600m)
01AVA2850000,75,239.55018958,Excellent (≤300m)
01AVN0160007,82,94.72513374,Excellent (≤300m)
01AWM0142001,83,98.199329,Excellent (≤300m)
01AZA0160006,77,64.07903645,Excellent (≤300m)
01BAA0160542,66,50.95258405,Excellent (≤300m)
01BAA2651000,74,124.84797521,Excellent (≤300m)
01BAE0149008,76,274.0374604,Excellent (≤300m)
01BAE1841000,84,19.07647339,Excellent (≤300m)
01BAL0160066,67,73.1080332,Excellent (≤300m)
01BAN0553002,72,189.12893013,Excellent (≤300m)
01BAO0857000,68,81.51356709,Excellent (≤300m)
01BAR0160020,74,222.94358707,Excellent (≤300m)
01BAR0649001,76,64.07903645,Excellent (≤300m)
01BAR1061001,64,142.28521735,Excellent (≤300m)
01BAY0143001,82,353.38288917,Good (300-600m)
01BBA1237000,88,211.55674859,Excellent (≤300m)
01BBA1456000,69,35.33251578,Excellent (≤300m)
01BBD0137000,88,223.46103517,Excellent (≤300m)
01BBS1147000,78,116.89201319,Excellent (≤300m)
01BCA0938001,87,178.40559558,Excellent (≤300m)
01BCE3159005,66,93.87199767,Excellent (≤300m)
01BDD0160404,74,189.84855185,Excellent (≤300m)
01BED0142000,84,97.64558051,Excellent (≤300m)
01BED2645000,80,5.94234168,Excellent (≤300m)
01BEH0859000,66,139.49884882,Excellent (≤300m)
01BFA0160052,76,169.72808515,Excellent (≤300m)
01BFX0160004,84,289.72293498,Excellent (≤300m)
01BGY0160149,73,46.84552139,Excellent (≤300m)
01BHY0557002,68,131.5443119,Excellent (≤300m)
01BIA0160036,93,25.36370695,Excellent (≤300m)
01BIA0160131,65,263.48735609,Excellent (≤300m)
01BIA0656000,69,118.84099679,Excellent (≤300m)
01BIF2541000,84,64.07903645,Excellent (≤300m)
01BJE0162022,63,177.40108862,Excellent (≤300m)
01BJM1638000,87,19.07647339,Excellent (≤300m)
01BJN2936003,89,339.06753559,Good (300-600m)
01BJS1662001,63,174.34865332,Excellent (≤300m)
01BJT2550000,75,292.90150897,Excellent (≤300m)
01BJY0144001,81,17.63580069,Excellent (≤300m)
01BJY0653003,72,104.05761811,Excellent (≤300m)
01BKN1752000,73,194.1974743,Excellent (≤300m)
01BKN1956001,69,247.75046802,Excellent (≤300m)
01BLA2752001,73,222.94358707,Excellent (≤300m)
01BLE0362000,63,105.61133947,Excellent (≤300m)
01BLN1556000,69,182.09947972,Excellent (≤300m)
01BMA1053001,72,160.02219712,Excellent (≤300m)
01BMA2134002,91,84.87987914,Excellent (≤300m)
01BMA2445000,80,246.22708692,Excellent (≤300m)
01BMC0152001,73,14.75210816,Excellent (≤300m)
01BME0550000,75,85.12685701,Excellent (≤300m)
01BME2261000,64,60.05706436,Excellent (≤300m)
01BML0100106,97,97.64558051,Excellent (≤300m)
01BML1655000,70,252.65370643,Excellent (≤300m)
01BMN0155001,70,138.7933412,Excellent (≤300m)
01BMN0160135,69,67.02743145,Excellent (≤300m)
01BNY0949001,76,105.14883468,Excellent (≤300m)
01BNY3148000,77,54.6591584,Excellent (≤300m)
