res_id,age,ward_id,precinct_id,owner_occ,tenure_status,property_value,value_category,has_building_match,residency_duration,age_group
01AAA1633000,92,21,11,Y,Homeowner,986500.00,Moderate Value ($500k-$1M),True,5+ Years,90+
01AAA1962000,62,22,7,Y,Homeowner,1019700.00,High Value ($1M+),True,5+ Years,62-69
01AAA2933000,92,21,13,N,Renter,,Unknown,True,5+ Years,90+
01AAA3136000,89,22,6,N,Renter,1413800.00,High Value ($1M+),True,5+ Years,80-89
01AAO0160131,71,21,7,,Unknown,,Unknown,True,5+ Years,70-79
01ABT1560001,65,21,13,,Unknown,,Unknown,True,5+ Years,62-69
01ACA0142002,83,21,11,Y,Homeowner,1898500.00,High Value ($1M+),True,5+ Years,80-89
01ADA0163003,62,22,2,N,Renter,4746200.00,High Value ($1M+),True,5+ Years,62-69
01ADH0153000,72,21,7,,Unknown,,Unknown,True,5+ Years,70-79
01ADT0161000,64,21,7,,Unknown,,Unknown,True,5+ Years,62-69
01AEG0162001,63,21,7,,Unknown,,Unknown,True,5+ Years,62-69
01AGE1245000,80,22,4,Y,Homeowner,914800.00,Moderate Value ($500k-$1M),True,5+ Years,80-89
01AJH2754003,71,22,2,Y,Homeowner,1236800.00,High Value ($1M+),True,5+ Years,70-79
01ALA0160174,63,22,11,Y,Homeowner,937900.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01ALA3158001,67,21,10,N,Renter,,Unknown,True,5+ Years,62-69
01ALE1643000,82,22,9,N,Renter,1559100.00,High Value ($1M+),True,5+ Years,80-89
01ALN2759001,66,21,11,N,Renter,0.00,Low Value (<$500k),True,5+ Years,62-69
01AME0150026,83,21,12,,Unknown,,Unknown,True,5+ Years,80-89
01AMZ2058000,67,21,14,N,Renter,0.00,Low Value (<$500k),True,5+ Years,62-69
01ANS0938001,87,22,8,Y,Homeowner,990400.00,Moderate Value ($500k-$1M),True,5+ Years,80-89
01AOA0160037,88,21,9,N,Renter,27373404.00,High Value ($1M+),True,5+ Years,80-89
01ARE0169003,71,22,7,Y,Homeowner,1167300.00,High Value ($1M+),True,5+ Years,70-79
01ASK0132000,88,21,9,N,Renter,27373404.00,High Value ($1M+),True,5+ Years,80-89
01ASU0150000,81,22,11,Y,Homeowner,777400.00,Moderate Value ($500k-$1M),True,5+ Years,80-89
01AVA2850000,75,22,3,Y,Homeowner,1105700.00,High Value ($1M+),True,5+ Years,70-79
01AWM0142001,83,22,1,Y,Homeowner,697400.00,Moderate Value ($500k-$1M),True,5+ Years,80-89
01BAA0160542,66,21,7,,Unknown,,Unknown,True,5+ Years,62-69
01BAA2651000,74,21,13,N,Renter,0.00,Low Value (<$500k),True,5+ Years,70-79
01BAL0160066,67,21,7,,Unknown,,Unknown,True,5+ Years,62-69
01BAN0553002,72,21,14,Y,Homeowner,1696600.00,High Value ($1M+),True,5+ Years,70-79
01BAO0857000,68,21,7,,Unknown,,Unknown,True,5+ Years,62-69
01BAR0160020,74,22,11,Y,Homeowner,744200.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01BAY0142002,83,21,13,,Unknown,,Unknown,True,5+ Years,80-89
01BAY0143001,82,22,10,Y,Homeowner,1199000.00,High Value ($1M+),True,5+ Years,80-89
01BBA1237000,88,22,1,Y,Homeowner,1054900.00,High Value ($1M+),True,5+ Years,80-89
01BBA1456000,69,22,7,N,Renter,0.00,Low Value (<$500k),True,5+ Years,62-69
01BBD0137000,88,22,7,Y,Homeowner,877900.00,Moderate Value ($500k-$1M),True,5+ Years,80-89
01BBS1147000,78,22,4,Y,Homeowner,1253400.00,High Value ($1M+),True,5+ Years,70-79
01BCA0938001,87,22,7,Y,Homeowner,627100.00,Moderate Value ($500k-$1M),True,5+ Years,80-89
01BCE3159005,66,22,8,Y,Homeowner,1163100.00,High Value ($1M+),True,5+ Years,62-69
01BDD0160404,74,21,3,,Unknown,,Unknown,True,5+ Years,70-79
01BED0142000,84,21,9,N,Renter,26902496.00,High Value ($1M+),True,5+ Years,80-89
01BED2645000,80,21,16,Y,Homeowner,,Unknown,True,5+ Years,80-89
01BEH0859000,66,22,13,Y,Homeowner,973500.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01BGY0160149,73,21,10,N,Renter,0.00,Low Value (<$500k),True,5+ Years,70-79
01BHY0557002,68,22,7,Y,Homeowner,884800.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01BIA0160036,93,21,10,N,Renter,8269891.00,High Value ($1M+),True,5+ Years,90+
01BIA0656000,69,22,3,N,Renter,9301700.00,High Value ($1M+),True,5+ Years,62-69
01BJE0162022,63,22,3,Y,Homeowner,1154800.00,High Value ($1M+),True,5+ Years,62-69
01BJN2936003,89,21,6,Y,Homeowner,781500.00,Moderate Value ($500k-$1M),True,5+ Years,80-89
01BJS1662001,63,21,6,Y,Homeowner,1064300.00,High Value ($1M+),True,5+ Years,62-69
01BJT2550000,75,22,4,Y,Homeowner,681100.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01BJY0653003,72,22,11,Y,Homeowner,1275600.00,High Value ($1M+),True,5+ Years,70-79
01BLA2752001,73,22,11,Y,Homeowner,744200.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01BLN0759000,66,21,13,,Unknown,,Unknown,True,5+ Years,62-69
01BLN1556000,69,22,2,N,Renter,0.00,Low Value (<$500k),True,5+ Years,62-69
01BMA1053001,72,22,3,Y,Homeowner,993300.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01BMA2134002,91,21,12,N,Renter,,Unknown,True,5+ Years,90+
01BMA2445000,80,21,8,N,Renter,0.00,Low Value (<$500k),True,5+ Years,80-89
01BME0550000,75,21,9,N,Renter,0.00,Low Value (<$500k),True,5+ Years,70-79
01BME2261000,64,21,10,N,Renter,,Unknown,True,5+ Years,62-69
01BML0100106,97,21,9,N,Renter,26902496.00,High Value ($1M+),True,5+ Years,90+
01BML1655000,70,22,11,N,Renter,1138100.00,High Value ($1M+),True,5+ Years,70-79
01BMN0155001,70,21,1,N,Renter,1274300.00,High Value ($1M+),True,5+ Years,70-79
01BNY0949001,76,21,14,Y,Homeowner,636300.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01BNY3148000,77,22,1,Y,Homeowner,744800.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01BOA0724000,101,21,13,N,Renter,,Unknown,True,5+ Years,90+
01BPA0149011,76,21,12,N,Renter,,Unknown,True,5+ Years,70-79
01BRT2446000,79,22,6,Y,Homeowner,1015400.00,High Value ($1M+),True,5+ Years,70-79
01BSE0132000,93,21,8,Y,Homeowner,1218700.00,High Value ($1M+),True,5+ Years,90+
01BSL0361000,64,22,9,Y,Homeowner,862900.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01BSN2559002,66,22,1,N,Renter,1403800.00,High Value ($1M+),True,5+ Years,62-69
01BSY0349000,76,22,4,,Unknown,,Unknown,True,5+ Years,70-79
01BUN2841000,84,22,6,N,Renter,1072300.00,High Value ($1M+),True,5+ Years,80-89
01BVA0762000,63,22,12,N,Renter,8312400.00,High Value ($1M+),True,5+ Years,62-69
01BWM0146008,79,22,11,Y,Homeowner,613900.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01BWM0460000,65,22,7,N,Renter,1178400.00,High Value ($1M+),True,5+ Years,62-69
01BWY0847001,78,22,6,Y,Homeowner,972100.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01CAD1341000,84,21,15,N,Renter,3233000.00,High Value ($1M+),True,5+ Years,80-89
01CAO0738000,87,22,13,Y,Homeowner,1174900.00,High Value ($1M+),True,5+ Years,80-89
01CBA0160043,77,21,8,N,Renter,2747746.00,High Value ($1M+),True,5+ Years,70-79
01CBY0549000,76,21,10,N,Renter,8269891.00,High Value ($1M+),True,5+ Years,70-79
01CCA1941001,84,21,12,N,Renter,,Unknown,True,5+ Years,80-89
01CCY1562002,63,22,4,Y,Homeowner,780500.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01CDD2559004,66,21,9,N,Renter,90499900.00,High Value ($1M+),True,5+ Years,62-69
01CDG0118001,83,21,12,,Unknown,,Unknown,True,5+ Years,80-89
01CDU0756000,69,21,10,N,Renter,0.00,Low Value (<$500k),True,5+ Years,62-69
01CED0140001,88,22,12,Y,Homeowner,981500.00,Moderate Value ($500k-$1M),True,5+ Years,80-89
01CEE0142001,83,21,10,N,Renter,8269891.00,High Value ($1M+),True,5+ Years,80-89
01CEH0141004,76,21,13,,Unknown,,Unknown,True,5+ Years,70-79
01CFC0955001,70,21,8,N,Renter,0.00,Low Value (<$500k),True,5+ Years,70-79
01CFG0526001,99,21,10,N,Renter,0.00,Low Value (<$500k),True,5+ Years,90+
01CFG2550000,75,21,13,,Unknown,,Unknown,True,5+ Years,70-79
01CGD0163001,62,21,11,Y,Homeowner,986500.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01CGY0144000,81,21,15,N,Renter,3233000.00,High Value ($1M+),True,5+ Years,80-89
01CJG0160048,86,21,13,N,Renter,,Unknown,True,5+ Years,80-89
01CJH2639000,86,21,6,N,Renter,21763600.00,High Value ($1M+),True,5+ Years,80-89
01CJH3052001,73,22,12,Y,Homeowner,1112900.00,High Value ($1M+),True,5+ Years,70-79
01CJN0160200,62,21,13,,Unknown,,Unknown,True,5+ Years,62-69
01CJN1157007,68,21,13,,Unknown,,Unknown,True,5+ Years,62-69
01CJN2056001,69,21,10,N,Renter,8153471.00,High Value ($1M+),True,5+ Years,62-69
01CJN3053002,72,22,10,Y,Homeowner,1110700.00,High Value ($1M+),True,5+ Years,70-79
01CKE2759000,66,21,11,Y,Homeowner,1034700.00,High Value ($1M+),True,5+ Years,62-69
01CKM0155001,70,21,5,Y,Homeowner,916300.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01CKN1558001,67,22,1,Y,Homeowner,884700.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01CLA0150033,75,22,7,Y,Homeowner,699100.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01CLA0160279,78,21,13,N,Renter,,Unknown,True,5+ Years,70-79
01CLN0148000,76,22,7,Y,Homeowner,699100.00,Moderate Value ($500k-$1M),True,5+ Years,70-79
01CLN0160311,72,21,13,,Unknown,,Unknown,True,5+ Years,70-79
01CLS0657002,68,21,9,N,Renter,26902496.00,High Value ($1M+),True,5+ Years,62-69
01CLY0100014,62,22,7,Y,Homeowner,919400.00,Moderate Value ($500k-$1M),True,5+ Years,62-69
01CMA1460002,65,21,1,N,Renter,7398000.00,High Value ($1M+),True,5+ Years,62-69
01CMD0758001,67,22,1,N,Renter,0.00,Low Value (<$500k),True,5+ Years,62-69
