STRUCT_ID,AREA_SQ_FT,SOURCE,MAPPING_METHOD,PARCEL_LOC_ID,PARCEL_POLY_TYPE,PARCEL_MAP_NO,PARCEL_TOWN_ID,LOCAL_ID,OFFICIAL_PAR_ID
228352_898978,1180.55874545,City of Boston,OFFICIAL_LOCAL_ID,F_749215_2949399,FEE,22.0,35.0,Bos_2204999000_B0,2204999000.0
228162_899135,1841.60337593,City of Boston,OFFICIAL_LOCAL_ID,F_748570_2949899,FEE,22.0,35.0,Bos_2205022000_B0,2205022000.0
228729_899340,1646.33256137,City of Boston,OFFICIAL_LOCAL_ID,F_750408_2950599,FEE,21.0,35.0,Bos_2102767000_B0,2102767000.0
228399_899359,1792.2272157,City of Boston,OFFICIAL_LOCAL_ID,F_749354_2950664,FEE,22.0,35.0,Bos_2204953000_B0,2204953000.0
228354_899043,1288.25908019,City of Boston,OFFICIAL_LOCAL_ID,F_749193_2949599,FEE,22.0,35.0,Bos_2204989000_B0,2204989000.0
228825_900407,1604.58906965,City of Boston,OFFICIAL_LOCAL_ID,F_750737_2954076,FEE,22.0,35.0,Bos_2202216000_B0,2202216000.0
228838_900402,1542.33238089,City of Boston,OFFICIAL_LOCAL_ID,F_750779_2954062,FEE,22.0,35.0,Bos_2202217000_B0,2202217000.0
228803_900405,1797.18318826,City of Boston,OFFICIAL_LOCAL_ID,F_750669_2954075,FEE,22.0,35.0,Bos_2202232000_B0,2202232000.0
228938_900298,1574.55527953,City of Boston,OFFICIAL_LOCAL_ID,F_751096_2953703,FEE,22.0,35.0,Bos_2202245000_B0,2202245000.0
228972_900291,1654.0277692,City of Boston,OFFICIAL_LOCAL_ID,F_751214_2953709,FEE,22.0,35.0,Bos_2202247000_B0,2202247000.0
229053_900187,1597.30668177,City of Boston,OFFICIAL_LOCAL_ID,F_751461_2953370,FEE,22.0,35.0,Bos_2202262000_B0,2202262000.0
228842_900258,1925.20193953,City of Boston,OFFICIAL_LOCAL_ID,F_750802_2953617,FEE,22.0,35.0,Bos_2202279000_B0,2202279000.0
228864_899086,899.47849142,City of Boston,OFFICIAL_LOCAL_ID,F_750860_2949757,FEE,21.0,35.0,Bos_2102587000_B0,2102587000.0
228768_899099,1064.27193831,City of Boston,OFFICIAL_LOCAL_ID,F_750561_2949769,FEE,21.0,35.0,Bos_2102610000_B0,2102610000.0
229527_900994,1243.67656669,City of Boston,OFFICIAL_LOCAL_ID,F_753020_2956016,FEE,22.0,35.0,Bos_2200833000_B0,2200833000.0
229514_901102,1461.06191567,City of Boston,OFFICIAL_LOCAL_ID,F_753018_2956356,FEE,22.0,35.0,Bos_2200855000_B0,2200855000.0
228761_899098,917.32489287,City of Boston,OFFICIAL_LOCAL_ID,F_750533_2949771,FEE,21.0,35.0,Bos_2102609000_B0,2102609000.0
228856_899127,1052.24267595,City of Boston,OFFICIAL_LOCAL_ID,F_750844_2949870,FEE,21.0,35.0,Bos_2102622000_B0,2102622000.0
228993_899227,1899.41371539,City of Boston,OFFICIAL_LOCAL_ID,F_751274_2950213,FEE,21.0,35.0,Bos_2102708000_B0,2102708000.0
229109_899261,1126.18911482,City of Boston,OFFICIAL_LOCAL_ID,F_751692_2950290,FEE,21.0,35.0,Bos_2102715000_B1,2102715000.0
228864_899127,1169.65086051,City of Boston,OFFICIAL_LOCAL_ID,F_750866_2949876,FEE,21.0,35.0,Bos_2102623000_B0,2102623000.0
229012_899175,1679.9383171,City of Boston,OFFICIAL_LOCAL_ID,F_751343_2950047,FEE,21.0,35.0,Bos_2102640000_B0,2102640000.0
228812_899258,1222.73488041,City of Boston,OFFICIAL_LOCAL_ID,F_750679_2950312,FEE,21.0,35.0,Bos_2102684000_B0,2102684000.0
228856_899290,1544.87243343,City of Boston,OFFICIAL_LOCAL_ID,F_750844_2950418,FEE,21.0,35.0,Bos_2102698000_B0,2102698000.0
229031_899338,1678.57426145,City of Boston,OFFICIAL_LOCAL_ID,F_751409_2950565,FEE,21.0,35.0,Bos_2102726000_B0,2102726000.0
228926_899327,1681.09647662,City of Boston,OFFICIAL_LOCAL_ID,F_751077_2950554,FEE,21.0,35.0,Bos_2102749000_B0,2102749000.0
228677_899327,2889.32676008,City of Boston,OFFICIAL_LOCAL_ID,F_750265_2950523,FEE,21.0,35.0,Bos_2102560000_B0,2102560000.0
228878_899092,902.8075747,City of Boston,OFFICIAL_LOCAL_ID,F_750906_2949776,FEE,21.0,35.0,Bos_2102585000_B0,2102585000.0
228941_899566,1127.21343472,City of Boston,OFFICIAL_LOCAL_ID,F_751137_2951312,FEE,22.0,35.0,Bos_2205338000_B0,2205338000.0
228950_899576,1817.20702793,City of Boston,OFFICIAL_LOCAL_ID,F_751152_2951371,FEE,22.0,35.0,Bos_2205339000_B0,2205339000.0
228877_899599,1586.96413144,City of Boston,OFFICIAL_LOCAL_ID,F_750921_2951427,FEE,22.0,35.0,Bos_2205353000_B0,2205353000.0
228731_899725,1914.70273122,City of Boston,OFFICIAL_LOCAL_ID,F_750466_2951833,FEE,22.0,35.0,Bos_2205435000_B0,2205435000.0
229165_899832,10536.45259352,City of Boston,OFFICIAL_LOCAL_ID,,,,,Bos_2101833000_B2,2101833000.0
228958_900348,1211.47975629,City of Boston,OFFICIAL_LOCAL_ID,F_751177_2953888,FEE,22.0,35.0,Bos_2202028000_B0,2202028000.0
228764_900178,2821.93812934,City of Boston,OFFICIAL_LOCAL_ID,F_750568_2953340,FEE,22.0,35.0,Bos_2202323000_B0,2202323000.0
228510_898935,1665.366112,City of Boston,OFFICIAL_LOCAL_ID,F_749690_2949256,FEE,21.0,35.0,Bos_2102518001_B0,2102518001.0
227502_899062,1343.48471368,City of Boston,OFFICIAL_LOCAL_ID,F_746390_2949665,FEE,22.0,35.0,Bos_2205660000_B0,2205660000.0
227875_900615,1594.84438206,City of Boston,OFFICIAL_LOCAL_ID,F_747616_2954792,FEE,22.0,35.0,Bos_2202936000_B0,2202936000.0
228190_899079,1828.29847968,City of Boston,OFFICIAL_LOCAL_ID,F_748649_2949722,FEE,22.0,35.0,Bos_2205017000_B0,2205017000.0
229866_900639,779.29622179,City of Boston,OFFICIAL_LOCAL_ID,F_754139_2954850,FEE,22.0,35.0,Bos_2201729000_B0,2201729000.0
230528_901235,1252.13898696,City of Boston,OFFICIAL_LOCAL_ID,F_756357_2956804,FEE,22.0,35.0,Bos_2200247000_B0,2200247000.0
230585_901232,479.16605682,City of Boston,OFFICIAL_LOCAL_ID,F_756492_2956822,FEE,22.0,35.0,Bos_2200249000_B1,2200249000.0
227280_900181,1582.38945606,City of Boston,OFFICIAL_LOCAL_ID,F_745652_2953345,FEE,22.0,35.0,Bos_2203372001_B0,2203372001.0
230677_900203,13698.32315551,City of Boston,OFFICIAL_LOCAL_ID,F_756819_2953420,FEE,21.0,35.0,Bos_2100777000_B0,2100777000.0
229149_900188,1384.27309837,City of Boston,OFFICIAL_LOCAL_ID,F_751783_2953363,FEE,22.0,35.0,Bos_2201975000_B0,2201975000.0
229140_900168,1956.46438939,City of Boston,OFFICIAL_LOCAL_ID,F_751766_2953305,FEE,22.0,35.0,Bos_2201976000_B0,2201976000.0
228972_900456,1461.41572775,City of Boston,OFFICIAL_LOCAL_ID,F_751224_2954241,FEE,22.0,35.0,Bos_2202075000_B0,2202075000.0
228827_900264,1965.67720005,City of Boston,OFFICIAL_LOCAL_ID,F_750757_2953638,FEE,22.0,35.0,Bos_2202280000_B0,2202280000.0
228756_900305,1629.13356716,City of Boston,OFFICIAL_LOCAL_ID,F_750514_2953746,FEE,22.0,35.0,Bos_2202286000_B0,2202286000.0
228759_900220,796.02406193,City of Boston,OFFICIAL_LOCAL_ID,F_750544_2953525,FEE,22.0,35.0,Bos_2202292000_B1,2202292000.0
230494_900288,6633.75583525,City of Boston,OFFICIAL_LOCAL_ID,F_756234_2953679,FEE,21.0,35.0,Bos_2100825000_B0,2100825000.0
230442_900271,1554.54413585,City of Boston,OFFICIAL_LOCAL_ID,F_756040_2953627,FEE,21.0,35.0,Bos_2100852000_B0,2100852000.0
230291_900313,11951.01835795,City of Boston,OFFICIAL_LOCAL_ID,F_755552_2953739,FEE,21.0,35.0,Bos_2100892000_B0,2100892000.0
228419_900536,377.95821719,City of Boston,OFFICIAL_LOCAL_ID,F_749374_2954474,FEE,22.0,35.0,Bos_2202580000_B1,2202580000.0
228463_900503,2224.40565532,City of Boston,OFFICIAL_LOCAL_ID,F_749552_2954396,FEE,22.0,35.0,Bos_2202605000_B0,2202605000.0
228777_900490,543.79105855,City of Boston,OFFICIAL_LOCAL_ID,F_750620_2954354,FEE,22.0,35.0,Bos_2202569000_B1,2202569000.0
228690_900531,988.94017643,City of Boston,OFFICIAL_LOCAL_ID,F_750292_2954490,FEE,22.0,35.0,Bos_2202547000_B0,2202547000.0
228408_900584,1648.21235651,City of Boston,OFFICIAL_LOCAL_ID,F_749365_2954670,FEE,22.0,35.0,Bos_2202588000_B0,2202588000.0
230470_899900,2500.01992224,City of Boston,OFFICIAL_LOCAL_ID,F_756135_2952416,FEE,21.0,35.0,Bos_2101508000_B0,2101508000.0
230097_899795,3818.44288783,City of Boston,OFFICIAL_LOCAL_ID,F_754910_2952077,FEE,21.0,35.0,Bos_2101525000_B0,2101525000.0
228937_899979,2184.43186924,City of Boston,OFFICIAL_LOCAL_ID,F_751111_2952680,FEE,22.0,35.0,Bos_2202330000_B0,2202330000.0
228841_900090,1911.65228896,City of Boston,OFFICIAL_LOCAL_ID,F_750796_2953026,FEE,22.0,35.0,Bos_2202349000_B0,2202349000.0
228746_900069,1721.93899041,City of Boston,OFFICIAL_LOCAL_ID,F_750476_2952963,FEE,22.0,35.0,Bos_2202364000_B0,2202364000.0
228709_900151,2372.51881055,City of Boston,OFFICIAL_LOCAL_ID,F_750354_2953238,FEE,22.0,35.0,Bos_2202378000_B0,2202378000.0
230245_900333,5103.38432865,City of Boston,OFFICIAL_LOCAL_ID,F_755391_2953821,FEE,21.0,35.0,Bos_2100890000_B0,2100890000.0
230581_900218,2092.56741182,City of Boston,OFFICIAL_LOCAL_ID,F_756492_2953462,FEE,21.0,35.0,Bos_2100808000_B0,2100808000.0
228449_900574,234.55711211,City of Boston,OFFICIAL_LOCAL_ID,F_749528_2954644,FEE,22.0,35.0,Bos_2202600000_B1,2202600000.0
228262_900750,1255.82291998,City of Boston,OFFICIAL_LOCAL_ID,F_748915_2955215,FEE,22.0,35.0,Bos_2202668000_B0,2202668000.0
228762_900815,8407.16991601,City of Boston,OFFICIAL_LOCAL_ID,F_750529_2955428,FEE,22.0,35.0,Bos_2202726000_B0,2202726000.0
228155_900765,1630.12203933,City of Boston,OFFICIAL_LOCAL_ID,F_748534_2955268,FEE,22.0,35.0,Bos_2202807000_B0,2202807000.0
228133_900760,1224.3508995,City of Boston,OFFICIAL_LOCAL_ID,F_748462_2955255,FEE,22.0,35.0,Bos_2202809000_B0,2202809000.0
228121_900774,420.11189331,City of Boston,OFFICIAL_LOCAL_ID,F_748427_2955249,FEE,22.0,35.0,Bos_2202810000_B1,2202810000.0
228826_900375,1616.47130263,City of Boston,OFFICIAL_LOCAL_ID,F_750742_2953981,FEE,22.0,35.0,Bos_2202228000_B0,2202228000.0
228802_900344,1694.64310552,City of Boston,OFFICIAL_LOCAL_ID,F_750653_2953847,FEE,22.0,35.0,Bos_2202234000_B0,2202234000.0
228794_900490,2047.6119414,City of Boston,OFFICIAL_LOCAL_ID,F_750620_2954354,FEE,22.0,35.0,Bos_2202569000_B0,2202569000.0
230602_900168,3776.41507822,City of Boston,OFFICIAL_LOCAL_ID,F_756593_2953293,FEE,21.0,35.0,Bos_2100784000_B0,2100784000.0
230375_900296,5662.92775829,City of Boston,OFFICIAL_LOCAL_ID,F_755816_2953716,FEE,21.0,35.0,Bos_2100847000_B0,2100847000.0
230342_900105,3475.33438558,City of Boston,OFFICIAL_LOCAL_ID,F_755722_2953082,FEE,21.0,35.0,Bos_2100879000_B0,2100879000.0
229375_899326,5139.57180463,City of Boston,OFFICIAL_LOCAL_ID,F_752539_2950535,FEE,21.0,35.0,Bos_2101916000_B0,2101916000.0
232858_899236,5258.38024176,City of Boston,OFFICIAL_LOCAL_ID,F_763960_2950245,FEE,21.0,35.0,Bos_2100044000_B0,2100044000.0
230839_900227,18655.95835409,City of Boston,OFFICIAL_LOCAL_ID,F_757213_2953503,FEE,21.0,35.0,Bos_2100745000_B1,2100745000.0
230666_900133,1515.81085306,City of Boston,OFFICIAL_LOCAL_ID,F_756780_2953184,FEE,21.0,35.0,Bos_2100773000_B0,2100773000.0
230735_900545,1779.94840417,City of Boston,OFFICIAL_LOCAL_ID,F_756995_2954541,FEE,21.0,35.0,Bos_2100495000_B0,2100495000.0
230724_900577,1081.97648804,City of Boston,OFFICIAL_LOCAL_ID,F_756975_2954646,FEE,21.0,35.0,Bos_2100497000_B0,2100497000.0
