STRUCT_ID,OFFICIAL_PAR_ID,AREA_SQ_FT,SOURCE,LOCAL_ID,PARCEL_LOC_ID,PARCEL_POLY_TYPE,PARCEL_MAP_NO,PARCEL_TOWN_ID
228352_898978,2204999000,1180.55874545,City of Boston,Bos_2204999000_B0,F_749215_2949399,FEE,22,35.0
228162_899135,2205022000,1841.60337593,City of Boston,Bos_2205022000_B0,F_748570_2949899,FEE,22,35.0
228729_899340,2102767000,1646.33256137,City of Boston,Bos_2102767000_B0,F_750408_2950599,FEE,21,35.0
228399_899359,2204953000,1792.2272157,City of Boston,Bos_2204953000_B0,F_749354_2950664,FEE,22,35.0
228354_899043,2204989000,1288.25908019,City of Boston,Bos_2204989000_B0,F_749193_2949599,FEE,22,35.0
228825_900407,2202216000,1604.58906965,City of Boston,Bos_2202216000_B0,F_750737_2954076,FEE,22,35.0
228838_900402,2202217000,1542.33238089,City of Boston,Bos_2202217000_B0,F_750779_2954062,FEE,22,35.0
228803_900405,2202232000,1797.18318826,City of Boston,Bos_2202232000_B0,F_750669_2954075,FEE,22,35.0
228938_900298,2202245000,1574.55527953,City of Boston,Bos_2202245000_B0,F_751096_2953703,FEE,22,35.0
228972_900291,2202247000,1654.0277692,City of Boston,Bos_2202247000_B0,F_751214_2953709,FEE,22,35.0
229053_900187,2202262000,1597.30668177,City of Boston,Bos_2202262000_B0,F_751461_2953370,FEE,22,35.0
228842_900258,2202279000,1925.20193953,City of Boston,Bos_2202279000_B0,F_750802_2953617,FEE,22,35.0
228864_899086,2102587000,899.47849142,City of Boston,Bos_2102587000_B0,F_750860_2949757,FEE,21,35.0
228768_899099,2102610000,1064.27193831,City of Boston,Bos_2102610000_B0,F_750561_2949769,FEE,21,35.0
229527_900994,2200833000,1243.67656669,City of Boston,Bos_2200833000_B0,F_753020_2956016,FEE,22,35.0
229514_901102,2200855000,1461.06191567,City of Boston,Bos_2200855000_B0,F_753018_2956356,FEE,22,35.0
228761_899098,2102609000,917.32489287,City of Boston,Bos_2102609000_B0,F_750533_2949771,FEE,21,35.0
228856_899127,2102622000,1052.24267595,City of Boston,Bos_2102622000_B0,F_750844_2949870,FEE,21,35.0
228993_899227,2102708000,1899.41371539,City of Boston,Bos_2102708000_B0,F_751274_2950213,FEE,21,35.0
229109_899261,2102715000,1126.18911482,City of Boston,Bos_2102715000_B1,F_751692_2950290,FEE,21,35.0
228864_899127,2102623000,1169.65086051,City of Boston,Bos_2102623000_B0,F_750866_2949876,FEE,21,35.0
229012_899175,2102640000,1679.9383171,City of Boston,Bos_2102640000_B0,F_751343_2950047,FEE,21,35.0
228812_899258,2102684000,1222.73488041,City of Boston,Bos_2102684000_B0,F_750679_2950312,FEE,21,35.0
228856_899290,2102698000,1544.87243343,City of Boston,Bos_2102698000_B0,F_750844_2950418,FEE,21,35.0
229031_899338,2102726000,1678.57426145,City of Boston,Bos_2102726000_B0,F_751409_2950565,FEE,21,35.0
228926_899327,2102749000,1681.09647662,City of Boston,Bos_2102749000_B0,F_751077_2950554,FEE,21,35.0
228677_899327,2102560000,2889.32676008,City of Boston,Bos_2102560000_B0,F_750265_2950523,FEE,21,35.0
228878_899092,2102585000,902.8075747,City of Boston,Bos_2102585000_B0,F_750906_2949776,FEE,21,35.0
228941_899566,2205338000,1127.21343472,City of Boston,Bos_2205338000_B0,F_751137_2951312,FEE,22,35.0
228950_899576,2205339000,1817.20702793,City of Boston,Bos_2205339000_B0,F_751152_2951371,FEE,22,35.0
228877_899599,2205353000,1586.96413144,City of Boston,Bos_2205353000_B0,F_750921_2951427,FEE,22,35.0
228731_899725,2205435000,1914.70273122,City of Boston,Bos_2205435000_B0,F_750466_2951833,FEE,22,35.0
229165_899832,2101833000,10536.45259352,City of Boston,Bos_2101833000_B2,,,,
228958_900348,2202028000,1211.47975629,City of Boston,Bos_2202028000_B0,F_751177_2953888,FEE,22,35.0
228764_900178,2202323000,2821.93812934,City of Boston,Bos_2202323000_B0,F_750568_2953340,FEE,22,35.0
228510_898935,2102518001,1665.366112,City of Boston,Bos_2102518001_B0,F_749690_2949256,FEE,21,35.0
227502_899062,2205660000,1343.48471368,City of Boston,Bos_2205660000_B0,F_746390_2949665,FEE,22,35.0
227875_900615,2202936000,1594.84438206,City of Boston,Bos_2202936000_B0,F_747616_2954792,FEE,22,35.0
